"Question","Answer"
"Why is my trading balance not updated even after adding funds successfully?","If your trading balance is not updated after a successful fund addition, it could be due to the following reasons:\n\n- High Volume of Requests: When there is a high volume of fund addition requests, it might take some time to update your balance. Please wait for 15 minutes.\n- Bank Account Issues: Ensure you add funds from the bank account registered with Angel One, and the account should be in your name. If funds are added from an unregistered bank account, the amount might get deducted but will be credited back in 3-4 working days."
"Why am I unable to add funds to my Angel One account?","You might be unable to add funds to your Angel One account due to the following reasons:\n\n- Unregistered Bank Account: You might be trying to add funds from a bank account not registered with your Angel One account.\n- Incorrect UPI ID: The UPI ID used for fund addition might not be mapped to the bank account registered with Angel One.\n\nEnsure you add funds from your bank account registered with Angel One."
"Is there a limit on the amount of funds that I can add to my Angel One account?","The limit for fund addition via UPI is 1 lakh per day.\nFor net banking, the limit will be applicable as per the bank account."
"Can I use debit/credit card to add funds to my Angel One account?","You cannot add funds to your Angel One account using your debit or credit card. As per the regulatory guidelines, your transactions should be from a verified bank account. Also, the usage of credit cards is not allowed in the stock markets."
"Why is my amount debited from bank but not added to my trading balance?","If the amount is debited from the bank but not added to your Angel One balance, it could be due to the following reasons:\n\n- Unregistered Bank Account: You might have tried to add funds from an unregistered bank account. The debited amount will be credited back to your bank in 3-4 working days.\n- Technical Glitch: There could be a technical glitch at your bank’s end. The debited amount will be refunded in 3-4 working days."
"Is it mandatory to add funds via bank account registered with Angel One?","Yes, as per regulatory guidelines and compliance norms, it is mandatory to transfer funds through the bank accounts registered with Angel One."
"How to add funds to my Angel One account?","You can add funds online to your Angel One account by following these steps:\n\n- Tap on Account at the bottom of your screen.\n- Click on Add Funds.\n- Enter the amount and choose the mode of transfer (Google Pay, PhonePe, other UPI methods, or Net banking).\n- Follow the subsequent steps to authorize your transaction, and the funds will be added to your account.\nClick here for more details on adding funds."
"Can I add funds from any bank account to my Angel One account?","No, you can add funds only from your bank account registered with Angel One. This is in accordance with SEBI guidelines. You cannot add funds from a bank account that belongs to your spouse, friend, or anyone else."
"What are the different options available to add funds to my Angel One account?","You can add funds using any of the following options:\n\n- Add funds using payment apps such as PhonePe, Google Pay, etc.\n- Add funds using UPI ID.\n- Add funds using net banking.\n\nPlease make sure to add funds from your bank account registered with Angel One in all the above options."
"Why am I unable to add funds using net banking?","You might be unable to add funds via net banking due to the following reasons:\n\n- Unregistered Bank Account: You are making payments from a bank account that is not registered with Angel One.\n- Mismatched Bank Details: You have added different bank account details on the ‘Add Funds’ page and net banking page.\n- Incorrect Credentials: You have entered incorrect credentials on the bank’s net banking page.\n- Insufficient Balance: You have insufficient balance in your bank account to make the transaction.\n- Transaction Limits: Your bank has placed limits on your transaction amount or the number of transactions.\n- Network Failure: There may be a network failure at the bank’s or provider’s system.\nEnsure you check these points and follow the correct procedure to add funds via net banking."
"Why am I unable to add funds using UPI?","You might be unable to add funds via UPI due to the following reasons:\n\n- Bank Account Mismatch: The bank account linked with Angel One is different from the one selected in the UPI app.\n- Unregistered UPI ID: Your UPI ID is mapped to a bank account that is not registered with Angel One.\n- Timeout: Your UPI request on the app was not accepted within 10 minutes.\n- Transfer Limit Exceeded: Your UPI transfer limit set by your bank is exhausted.\n- Daily Limit Reached: Your daily UPI transaction limit is reached across all UPI apps.\n- Insufficient Balance: You may have an insufficient balance in your bank account.\n- Network Issues: Network failure at the bank’s/provider’s system.\n- Incorrect UPI ID: Your UPI ID (VPA) entered is incorrect.\n- Wrong UPI PIN: You have entered the wrong UPI PIN.\n- Incorrect Method: You are transferring funds to Angel One’s UPI ID directly instead of using the ‘Add Funds’ option on the Angel One app/platform.\nEnsure you follow the correct procedure and check the above points to resolve the issue."
"How can I withdraw funds from my Angel One account?","You can withdraw your funds from the Angel One account by following the below steps:\n\n- Log in to your account.\n- Go to the Account screen.\n- Click on the “Withdraw” button under Trading Balance at the top of the screen.\n- Here you will be able to check the withdrawable amount.\n- You can enter the amount you want to withdraw and the bank account to which the money needs to be credited.\n\nPlease note the estimated credit time shown on the screen.\nKindly note that the withdrawal amount is updated every morning after taking the previous day’s transactions into account."
"Why am I unable to withdraw my money from my Angel One account?","You might be unable to withdraw your money for the following reasons:\n\n- Sell Transactions: Funds from sell transactions can be withdrawn on T+1 day (the next working day). For example, if you sold shares worth Rs. 1000 on Friday, you can place a withdrawal request on Monday.\n- Same-Day Deposits: Funds added to your account cannot be withdrawn on the same day; you can withdraw them on the next working day."
"How can I check the status of my fund withdrawal request?","You can follow these steps to check the status of your withdrawal request:\n\n- Click on the Account screen in the app.\n- Scroll down to the Dash section.\n- Click on Fund Transactions.\n- Click on Funds Withdrawn.\n- Click here to find all the fund withdrawal requests and their statuses."
